Respondent_ID,Expected_Salary,Overseas_Work,Years_to_Repay_Debt,Start_Up,Preferred_Industry,Remote_Work,Fortune_500
1,55000,No,4,FALSE,Tech,Yes,FALSE
2,65000,Yes,5,FALSE,Tech,No,FALSE
3,90000,No,6,FALSE,Healthcare,No,FALSE
4,70000,Yes,4,FALSE,Manufacturing,No,FALSE
5,55000,No,4,TRUE,Education,No,FALSE
6,80000,Yes,5,FALSE,Healthcare,Yes,TRUE
7,80000,No,6,FALSE,Tech,No,FALSE
8,90000,No,7,TRUE,Tech,Yes,TRUE
9,75000,No,3,FALSE,Tech,Yes,TRUE
10,70000,Yes,7,FALSE,Manufacturing,Yes,FALSE
11,55000,Yes,3,FALSE,Manufacturing,Yes,FALSE
12,55000,No,3,TRUE,Healthcare,Yes,FALSE
13,50000,No,3,TRUE,Education,Yes,TRUE
14,45000,No,3,FALSE,Healthcare,Yes,FALSE
15,75000,Yes,5,TRUE,Finance,No,TRUE
16,80000,No,6,FALSE,Tech,No,FALSE
17,85000,Yes,5,FALSE,Tech,Yes,FALSE
18,60000,Yes,5,TRUE,Tech,Yes,FALSE
19,85000,No,5,FALSE,Healthcare,Yes,FALSE
20,45000,No,3,FALSE,Healthcare,Yes,FALSE
21,95000,Yes,7,FALSE,Tech,Yes,FALSE
22,75000,Yes,6,FALSE,Healthcare,Yes,TRUE
23,90000,Yes,7,FALSE,Manufacturing,Yes,TRUE
24,75000,No,5,FALSE,Manufacturing,No,FALSE
25,65000,No,5,FALSE,Healthcare,Yes,FALSE
26,90000,Yes,7,FALSE,Tech,Yes,TRUE
27,90000,Yes,7,FALSE,Healthcare,Yes,FALSE
28,65000,No,6,FALSE,Healthcare,Yes,TRUE
29,85000,No,5,FALSE,Healthcare,Yes,FALSE
30,50000,No,4,FALSE,Finance,No,FALSE
31,75000,Yes,6,TRUE,Manufacturing,Yes,FALSE
32,100000,Yes,6,FALSE,Education,Yes,FALSE
33,65000,No,5,TRUE,Education,No,TRUE
34,70000,No,7,FALSE,Finance,No,TRUE
35,75000,Yes,7,FALSE,Healthcare,No,FALSE
36,105000,No,6,FALSE,Finance,Yes,FALSE
37,60000,Yes,5,FALSE,Finance,No,TRUE
38,70000,No,6,FALSE,Tech,Yes,FALSE
39,105000,No,7,FALSE,Manufacturing,Yes,TRUE
40,75000,Yes,4,FALSE,Education,Yes,FALSE
